0.0 -1.0 -1.0 -1.0 -1.0 0.0 -1.0 0.0 -1.0 0.0
5.00000000000000e-02 -1.00062509771734e+00 -1.00062500000000e+00 -1.00062500000000e+00 -1.00062509772813e+00 3.88199753830919e-08 -1.00062510252184e+00 1.43463826916196e-08 -1.00062510253378e+00 1.33578376581414e-08
1.00000000000000e-01 -1.00250156642158e+00 -1.00250000000000e+00 -1.00250000000000e+00 -1.00250158254850e+00 3.20418393806391e-07 -1.00250157853107e+00 1.00168462066134e-07 -1.00250157847000e+00 9.99375677282204e-08
1.50000000000000e-01 -1.00563295504633e+00 -1.00562500000000e+00 -1.00562500000000e+00 -1.00563307617920e+00 1.08846555238091e-06 -1.00563293648742e+00 3.38255486983710e-07 -1.00563293732222e+00 3.39887572026593e-07
2.00000000000000e-01 -1.01002525398459e+00 -1.01000000000000e+00 -1.01000000000000e+00 -1.01002615535667e+00 2.63407838535675e-06 -1.01002490374688e+00 7.76132063344852e-07 -1.01002488276125e+00 7.86809312455988e-07
2.50000000000000e-01 -1.01568701285279e+00 -1.01562500000000e+00 -1.01562500000000e+00 -1.01568478968003e+00 4.86956453759119e-06 -1.01568811168566e+00 1.61625136276484e-06 -1.01568819756869e+00 1.58945431063426e-06
3.00000000000000e-01 -1.02262951492087e+00 -1.02250000000000e+00 -1.02250000000000e+00 -1.02262692630516e+00 8.86127391152433e-06 -1.02263044777216e+00 2.80731965847880e-06 -1.02263063326002e+00 2.76208905752139e-06
3.50000000000000e-01 -1.03086701915358e+00 -1.03062500000000e+00 -1.03062500000000e+00 -1.03085226738862e+00 1.37455660503089e-05 -1.03087368635903e+00 4.57857015241506e-06 -1.03087475875321e+00 4.44936147296367e-06
4.00000000000000e-01 -1.04041708623583e+00 -1.04000000000000e+00 -1.04000000000000e+00 -1.04039800188263e+00 2.15571390301156e-05 -1.04042484385584e+00 6.81810052112932e-06 -1.04042634160042e+00 6.61451176355538e-06
4.50000000000000e-01 -1.05130101280444e+00 -1.05062500000000e+00 -1.05062500000000e+00 -1.05129591555309e+00 3.20261423588732e-05 -1.05129893815517e+00 9.55738547172772e-06 -1.05129879307029e+00 9.32678315566075e-06
5.00000000000000e-01 -1.06354440997336e+00 -1.06250000000000e+00 -1.06250000000000e+00 -1.06349642800477e+00 4.23582343764477e-05 -1.06355478395866e+00 1.40310986068412e-05 -1.06355778838817e+00 1.29540868020982e-05
5.50000000000000e-01 -1.07717798096640e+00 -1.07562500000000e+00 -1.07562500000000e+00 -1.07717003160371e+00 6.04549260863953e-05 -1.07716746197317e+00 1.84527008451238e-05 -1.07716497788229e+00 1.73342025006865e-05
6.00000000000000e-01 -1.09223858355468e+00 -1.09000000000000e+00 -1.09000000000000e+00 -1.09213042341355e+00 7.78379934080300e-05 -1.09224547865815e+00 2.46542050977540e-05 -1.09225361106509e+00 2.29227678748408e-05
6.50000000000000e-01 -1.10877071651195e+00 -1.10562500000000e+00 -1.10562500000000e+00 -1.10862122715107e+00 9.99764288250012e-05 -1.10877336940463e+00 3.29677679686340e-05 -1.10878299920589e+00 2.91484070884452e-05
7.00000000000000e-01 -1.12682866758698e+00 -1.12250000000000e+00 -1.12250000000000e+00 -1.12675019952529e+00 1.29071781340379e-04 -1.12678167619593e+00 4.24555189186263e-05 -1.12676076318984e+00 3.74269899710384e-05
7.50000000000000e-01 -1.14647975437074e+00 -1.14062500000000e+00 -1.14062500000000e+00 -1.14613934194779e+00 1.50875585603450e-04 -1.14644261802386e+00 5.46695642446508e-05 -1.14646602304710e+00 4.65686744443999e-05
8.00000000000000e-01 -1.16780950852073e+00 -1.16000000000000e+00 -1.16000000000000e+00 -1.16741016250104e+00 1.91665391454183e-04 -1.16773709218529e+00 7.13437586591528e-05 -1.16774334989731e+00 6.04084748428610e-05
8.50000000000000e-01 -1.19093067817423e+00 -1.18062500000000e+00 -1.18062500000000e+00 -1.19013771733582e+00 2.18562312687586e-04 -1.19079937380757e+00 8.95948311138164e-05 -1.19086238887276e+00 7.45427261079250e-05
9.00000000000000e-01 -1.21600091410973e+00 -1.20250000000000e+00 -1.20250000000000e+00 -1.21480221798910e+00 2.56757003076219e-04 -1.21571139089066e+00 1.14369174100652e-04 -1.21582845217537e+00 9.42934206918868e-05
9.50000000000000e-01 -1.24326570427043e+00 -1.22562500000000e+00 -1.22562500000000e+00 -1.24121305021398e+00 2.83462283597053e-04 -1.24271854941587e+00 1.45957116048191e-04 -1.24299479117547e+00 1.17964326903781e-04
1.00000000000000e+00 -1.27323954473487e+00 -1.25000000000000e+00 -1.25000000000000e+00 -1.26977253683880e+00 3.33672577829060e-04 -1.27199131797909e+00 1.71753745117488e-04 -1.27243848007949e+00 1.43659972705472e-04
1.05000000000000e+00 -1.30685647027100e+00 -1.28809523809524e+00 -1.27562500000000e+00 -1.30047989517866e+00 3.52010517904844e-04 -1.30390902233820e+00 2.15603809009922e-04 -1.30476928478129e+00 1.86227339138082e-04
1.10000000000000e+00 -1.34286402272510e+00 -1.32727272727273e+00 -1.30250000000000e+00 -1.33367501898862e+00 3.53833486133419e-04 -1.33918749754365e+00 2.49831485135168e-04 -1.34051858437336e+00 2.23478088809987e-04
1.15000000000000e+00 -1.38057245395047e+00 -1.36739130434783e+00 -1.33062500000000e+00 -1.36930895628033e+00 3.45723258433404e-04 -1.37657668082116e+00 2.43586246293180e-04 -1.37807263088150e+00 2.25901215699641e-04
