0.0 -1.38057245395047e+00	-1.36739130434783e+00	-1.33062500000000e+00 -1.36930895628033e+00 3.45723258433404e-04 -1.37657668082116e+00 2.43586246293180e-04 -1.37807263088150e+00 2.25901215699641e-04
5.00000000000000e-02 -1.38057544476521e+00	-1.36739130434783e+00	-1.33062500000000e+00 -1.36938526583324e+00 3.47574993506782e-04 -1.37711389419963e+00 2.51516375768241e-04 -1.37886753065704e+00 2.18024303344719e-04
1.00000000000000e-01 -1.38074855446305e+00	-1.36739130533966e+00	-1.33062500000000e+00 -1.36938518143126e+00 3.47575287899246e-04 -1.37732771710333e+00 2.56883860373203e-04 -1.37929027797313e+00 2.20049327384867e-04
1.50000000000000e-01 -1.38146969590095e+00	-1.36739270318337e+00	-1.33062500000039e+00 -1.36938498559822e+00 3.47576185647502e-04 -1.37690552036211e+00 2.51446671930550e-04 -1.37868225984603e+00 2.13745584408748e-04
2.00000000000000e-01 -1.38289062932067e+00	-1.36743957545420e+00	-1.33062500041223e+00 -1.36938932659330e+00 3.48094159251022e-04 -1.37728477627464e+00 2.49960963728100e-04 -1.37910646732126e+00 2.15993233635058e-04
2.50000000000000e-01 -1.38502955841557e+00	-1.36777671313381e+00	-1.33062502813384e+00 -1.36942030635805e+00 3.48810938095095e-04 -1.37827214726136e+00 2.55445281032893e-04 -1.38070572186611e+00 2.23041661803003e-04
3.00000000000000e-01 -1.38787788507671e+00	-1.36888739058448e+00	-1.33062548588914e+00 -1.36985111415893e+00 3.62898863012705e-04 -1.38022192813815e+00 2.63599870689261e-04 -1.38356709520324e+00 2.40238804506008e-04
3.50000000000000e-01 -1.39142734084539e+00	-1.37126137877399e+00	-1.33062880850198e+00 -1.37094733985577e+00 3.66832147370437e-04 -1.38311975716198e+00 2.68770435378350e-04 -1.38710308302145e+00 2.47170018881154e-04
4.00000000000000e-01 -1.39567532789528e+00	-1.37518950992874e+00	-1.33064316781105e+00 -1.37301957070818e+00 3.77595964217700e-04 -1.38696555345216e+00 2.69375066672566e-04 -1.39135670512349e+00 2.47194993956730e-04
4.50000000000000e-01 -1.40062531395974e+00	-1.38072912090921e+00	-1.33068713273094e+00 -1.37715434427526e+00 4.00868638582955e-04 -1.39187042850004e+00 2.79435206044705e-04 -1.39663594326664e+00 2.46225136020177e-04
5.00000000000000e-01 -1.40628581839676e+00	-1.38777078701175e+00	-1.33079315545554e+00 -1.38163953128890e+00 3.89046887196124e-04 -1.39809494845862e+00 2.78305840548858e-04 -1.40268878287776e+00 2.43935768279785e-04
5.50000000000000e-01 -1.41266878684852e+00	-1.39612313291104e+00	-1.33100863112716e+00 -1.38930622665530e+00 4.26637480991652e-04 -1.40501826375500e+00 2.79233177141933e-04 -1.40962072507704e+00 2.41944615576637e-04
6.00000000000000e-01 -1.41978773524510e+00	-1.40557788506766e+00	-1.33139466864792e+00 -1.39675006778008e+00 4.24802802015717e-04 -1.41271237644748e+00 2.82523370071095e-04 -1.41712057919509e+00 2.39912697284713e-04
6.50000000000000e-01 -1.42765596960967e+00	-1.41594819016179e+00	-1.33202345025393e+00 -1.40543792791032e+00 4.29881074495661e-04 -1.42136756780168e+00 2.83450111670885e-04 -1.42525412208391e+00 2.38293487907648e-04
7.00000000000000e-01 -1.43628509518520e+00	-1.42708542077247e+00	-1.33297509416798e+00 -1.41521959541705e+00 4.48714360531686e-04 -1.43070791761462e+00 2.87327364799961e-04 -1.43406109254396e+00 2.35721006738417e-04
7.50000000000000e-01 -1.44568391763036e+00	-1.43888211508628e+00	-1.33433464993223e+00 -1.42552848227799e+00 4.48004152613409e-04 -1.44060377257775e+00 2.87685874758509e-04 -1.44354800919675e+00 2.32982665999092e-04
8.00000000000000e-01 -1.45585774809434e+00	-1.45126747633853e+00	-1.33618954516167e+00 -1.43616851866677e+00 4.56006586446500e-04 -1.45139082807166e+00 2.89456909255858e-04 -1.45370682283215e+00 2.31300848056012e-04
8.50000000000000e-01 -1.46680806727862e+00	-1.46419982568982e+00	-1.33862758121934e+00 -1.45010195634731e+00 4.66529996341554e-04 -1.46270186604547e+00 2.93744982145373e-04 -1.46465507354972e+00 2.25580038222965e-04
9.00000000000000e-01 -1.47853247752466e+00	-1.47765861224111e+00	-1.34173545208358e+00 -1.46384460716443e+00 4.89660703975933e-04 -1.47470116426276e+00 2.88944017187622e-04 -1.47633492309083e+00 2.17141450037938e-04
9.50000000000000e-01 -1.49102486687072e+00	-1.49163730175482e+00	-1.34559770741984e+00 -1.47763003670528e+00 5.03346625760019e-04 -1.48751228295439e+00 2.86127726053939e-04 -1.48885506614049e+00 2.12774031149641e-04
1.00000000000000e+00 -1.50427571568582e+00	-1.50613765723442e+00	-1.35029606798687e+00 -1.49041425581842e+00 4.87801836181946e-04 -1.50076586529080e+00 2.86504197500421e-04 -1.50211327565453e+00 2.05381140629903e-04
1.05000000000000e+00 -1.51827248833086e+00	-1.52116546992790e+00	-1.35590900812361e+00 -1.50778799704512e+00 5.24793504656182e-04 -1.51524145114166e+00 2.83821031144691e-04 -1.51605802595784e+00 1.96339896051877e-04
1.10000000000000e+00 -1.53300006527526e+00	-1.53672757812940e+00	-1.36251153399022e+00 -1.52314889487571e+00 5.02792549769523e-04 -1.53023775954167e+00 2.88086684251913e-04 -1.53087120022187e+00 1.91117275209645e-04
1.15000000000000e+00 -1.54844118310356e+00	-1.55282992956242e+00	-1.37017510128331e+00 -1.53932328631943e+00 4.97447721458655e-04 -1.54573300349143e+00 2.73576062577061e-04 -1.54634057399967e+00 1.84954264546015e-04
1.20000000000000e+00 -1.56457685998465e+00	-1.56947643695018e+00	-1.37896762963194e+00 -1.55654663072660e+00 5.34548383128126e-04 -1.56220291650781e+00 2.73627924818657e-04 -1.56254781986054e+00 1.74256641886028e-04
1.25000000000000e+00 -1.58138679221661e+00	-1.58666840553805e+00	-1.38895358195160e+00 -1.57400917380137e+00 5.34008938476640e-04 -1.57907096508886e+00 2.66228027113352e-04 -1.57940231613862e+00 1.68837006297666e-04
